Year,Industry_name_NZSIOC,Additions to fixed assets,Closing stocks,Current assets,Current liabilities,Current ratio,Depreciation,Disposals of fixed assets,Fixed tangible assets,"Government funding, grants and subsidies",Indirect taxes,Interest and donations,"Interest, dividends and donations",Liabilities structure,Margin on sales of goods for resale,Non-operating expenses,Non-operating income,Opening stocks,Other Purchases and operating expenses,Other assets,Other liabilities,Other purchases and operating expenses,Purchases and other operating expenses,Purchases of goods bought for resale,Quick ratio,Redundancy and severance,Return on equity,Return on total assets,Salaries and wages paid,Sales of goods not further processed,Sales of other goods and services,"Sales, government funding, grants and subsidies",Shareholders funds or owners equity,Surplus before income tax,Surplus per employee count,Total assets,Total equity and liabilities,Total expenditure,Total income,Total income per employee count
2013,Dairy Cattle Farming,4555.777777777777,7025.0,10369.0,7919.0,131.0,574.0,1193.7777777777778,34113.0,217.22222222222223,150.0,1632.0,239.0,40.0,24.88888888888889,37.0,415.0,7163.0,73051.625,14363.0,27606.0,65072.0,7293.0,7564.0,42.0,0.0,5.0,2.0,1229.0,10053.0,96794.44444444444,11607.0,23319.0,1208.0,49700.0,58844.0,58844.0,10914.0,12261.0,504200.0
2013,Horticulture and Fruit Growing,4555.777777777777,292.0,1704.0,2457.0,69.0,162.0,1193.7777777777778,6682.0,217.22222222222223,31.0,200.0,47.0,41.0,24.88888888888889,20.0,77.0,292.0,73051.625,1269.0,3274.0,65072.0,1941.0,7564.0,57.0,0.0,7.0,3.0,565.0,10053.0,96794.44444444444,3072.0,3925.0,276.0,12400.0,9656.0,9656.0,2921.0,3196.0,144200.0
2013,Manufacturing,3924.0,12367.0,32192.0,25996.0,124.0,2394.0,1355.0,22923.0,44.0,3153.0,1100.0,677.0,46.0,27.0,2038.0,801.0,12071.0,73051.625,15438.0,12206.0,65072.0,5115.944444444444,7612.0,76.0,60.0,10.0,4.0,12620.0,10444.0,84804.0,8399.555555555555,32352.0,3078.0,14100.0,70554.0,70554.0,93988.0,96770.0,444500.0
2014,Dairy Cattle Farming,4555.777777777777,7201.0,11280.0,8497.0,133.0,592.0,1193.7777777777778,34438.0,217.22222222222223,152.0,1574.0,153.0,40.0,24.88888888888889,55.0,331.0,7156.0,73051.625,13647.0,27207.0,65072.0,8174.0,7564.0,48.0,0.0,13.0,5.0,1412.0,10053.0,96794.44444444444,14395.0,23662.0,2965.0,115700.0,59366.0,59366.0,11959.0,14879.0,580800.0
2014,Horticulture and Fruit Growing,4555.777777777777,302.0,1848.0,2606.0,71.0,159.0,1193.7777777777778,6759.0,217.22222222222223,32.0,191.0,45.0,41.0,24.88888888888889,22.0,112.0,275.0,73051.625,1287.0,3258.0,65072.0,1976.0,7564.0,59.0,0.0,13.0,5.0,574.0,10053.0,96794.44444444444,3284.0,4029.0,513.0,21800.0,9893.0,9893.0,2954.0,3441.0,145900.0
2014,Manufacturing,3925.0,13048.0,32283.0,26901.0,120.0,2450.0,999.0,24125.0,40.0,3096.0,1181.0,559.0,45.0,28.0,1012.0,1194.0,12310.0,72272.0,17080.0,13483.0,65072.0,5115.944444444444,7718.0,72.0,63.0,13.0,6.0,13073.0,10676.0,91764.0,8399.555555555555,33103.0,4169.0,18800.0,73488.0,73488.0,100802.0,104233.0,471200.0
2015,Dairy Cattle Farming,4555.777777777777,6740.0,10732.0,9306.0,115.0,665.0,1193.7777777777778,38317.0,217.22222222222223,167.0,1726.0,172.0,36.0,24.88888888888889,52.0,416.0,6893.0,73051.625,13289.0,30330.0,65072.0,8048.0,7564.0,43.0,0.0,4.0,1.0,1367.0,10053.0,96794.44444444444,12420.0,22702.0,830.0,30500.0,62338.0,62338.0,12025.0,13007.0,478200.0
2015,Horticulture and Fruit Growing,4555.777777777777,298.0,1916.0,2724.0,70.0,159.0,1193.7777777777778,6860.0,217.22222222222223,32.0,191.0,56.0,43.0,24.88888888888889,7.0,124.0,285.0,73051.625,1366.0,3070.0,65072.0,2069.0,7564.0,59.0,0.0,11.0,5.0,600.0,10053.0,96794.44444444444,3329.0,4347.0,462.0,19900.0,10142.0,10142.0,3059.0,3508.0,151000.0
2015,Manufacturing,4640.0,12462.0,32744.0,24649.0,133.0,2503.0,920.0,26210.0,53.0,3376.0,1304.0,499.0,46.0,23.0,1086.0,1076.0,12996.0,65944.0,16413.0,16327.0,65072.0,5115.944444444444,7737.0,82.0,50.0,16.0,7.0,13687.0,10013.0,89949.0,8399.555555555555,34392.0,5419.0,23800.0,75368.0,75368.0,95636.0,101590.0,446500.0
2016,Dairy Cattle Farming,4555.777777777777,6047.0,10234.0,9831.0,104.0,659.0,1193.7777777777778,40075.0,217.22222222222223,174.0,1706.0,225.0,34.0,24.88888888888889,36.0,380.0,6135.0,73051.625,13542.0,32003.0,65072.0,6835.0,7564.0,43.0,0.0,-4.0,-1.0,1244.0,10053.0,96794.44444444444,9327.0,22018.0,-810.0,-31400.0,63851.0,63851.0,10654.0,9932.0,384400.0
